date,stock_code,stock_name,keyword,source,title,url,close_price,price_change,change_pct
20260206,8299,群聯,群聯,Bing,群聯外資近3日反手大買超3297張 預期抄底時機在這,https://n.yam.com/Article/20260206621245,,,
20260206,3189,景碩,景碩,Bing,景碩、臻鼎 內外資爭先升評,https://www.chinatimes.com/newspapers/20260205000370-260206,242.5,-21.0,-7.97
20260206,2330,台積電,台積電,Bing,房市潮水退了！台積電神話竟變套牢惡夢？,https://www.mirrormedia.mg/external/setn_1791975,1780.0,15.0,0.85
20260206,2330,台積電,台積電,Bing,台積電翻紅收最高 台股高低震盪678點終場小跌18點,https://money.udn.com/money/story/5612/9313527,1780.0,15.0,0.85
20260206,2454,聯發科,聯發科,Bing,押注AI爆發商機 聯發科巨額研發支出衝ASIC、WiFi 8、CPO技術,https://money.udn.com/money/story/5612/9313982,1710.0,-60.0,-3.39
20260206,2454,聯發科,聯發科,Bing,ASIC火力全開聯發科總座：資料中心投資翻倍、有望成第2大營收來源,https://www.msn.com/zh-tw/news/other/asic%E7%81%AB%E5%8A%9B%E5%85%A8%E9%96%8B%E8%81%AF%E7%99%BC%E7%A7%91%E7%B8%BD%E5%BA%A7-%E8%B3%87%E6%96%99%E4%B8%AD%E5%BF%83%E6%8A%95%E8%B3%87%E7%BF%BB%E5%80%8D-%E6%9C%89%E6%9C%9B%E6%88%90%E7%AC%AC2%E5%A4%A7%E7%87%9F%E6%94%B6%E4%BE%86%E6%BA%90/ar-AA1VNBDz?ocid=BingNewsVerp,1710.0,-60.0,-3.39
20260206,2454,聯發科,聯發科,Bing,記憶體漲價衝擊手機銷售！聯發科陳冠州：資料中心將成「第二大產品線」,https://tw.news.yahoo.com/%E8%A8%98%E6%86%B6%E9%AB%94%E6%BC%B2%E5%83%B9%E8%A1%9D%E6%93%8A%E6%89%8B%E6%A9%9F%E9%8A%B7%E5%94%AE-%E8%81%AF%E7%99%BC%E7%A7%91%E9%99%B3%E5%86%A0%E5%B7%9E-%E8%B3%87%E6%96%99%E4%B8%AD%E5%BF%83%E5%B0%87%E6%88%90-%E7%AC%AC%E4%BA%8C%E5%A4%A7%E7%94%A2%E5%93%81%E7%B7%9A-101814637.html,1710.0,-60.0,-3.39
20260206,2480,敦陽科,敦陽科,Bing,存股助理第754期國際軟體股爆發股災精誠、敦陽科今年兩道逆風,https://www.businesstoday.com.tw/subscription_catalog/category/201856/post/202602060035/,137.5,-1.5,-1.08
20260206,2498,宏達電,宏達電,Bing,113年「前10大肥貓」名單曝！宏達電、友達董事均酬以380萬元成最大肥貓,https://ctinews.com/news/items/M9n6BKvqnR,44.9,0.1,0.22
20260206,2603,長榮,長榮,Bing,長榮航空抱病值勤返台猝逝 座艙長懲處出爐,https://www.ctwant.com/article/468192/,187.5,0.5,0.27
20260206,2609,陽明,陽明,Bing,陽明海運首批LNG雙燃料船命名 2月8日投入地中海航線,https://news.cnyes.com/news/id/6335936,52.2,-0.6,-1.14
20260206,2609,陽明,陽明,Bing,陽明海運「環明輪」遭查獲大量海洛因磚 船長收押禁見,https://tw.news.yahoo.com/%E9%99%BD%E6%98%8E%E6%B5%B7%E9%81%8B-%E7%92%B0%E6%98%8E%E8%BC%AA-%E9%81%AD%E6%9F%A5%E7%8D%B2%E5%A4%A7%E9%87%8F%E6%B5%B7%E6%B4%9B%E5%9B%A0%E7%A3%9A-%E8%88%B9%E9%95%B7%E6%94%B6%E6%8A%BC%E7%A6%81%E8%A6%8B-063029858.html,52.2,-0.6,-1.14
20260206,2610,華航,華航,Bing,華航勇奪 SkyTeam「永續航空燃油轉型獎」,https://udn.com/news/story/7241/9310391,22.65,-0.1,-0.44
20260206,2880,華南金,華南金,Bing,華南金代子公司華南商業銀行公告授信資產之轉讓,https://news.cnyes.com/news/id/6336022,33.85,0.25,0.74
20260206,2880,華南金,華南金,Bing,準備領紅包！華南金去年獲利創高 股息比去年更好、殖利率估4,https://www.nownews.com/news/6660325,33.85,0.25,0.74
20260206,2313,華通,華通,Bing,華通、燿華亮燈！太空資料中心題材延燒 南亞科出關量價齊揚，下一檔熱門股都在這！？,https://news.cnyes.com/news/id/6322406,172.0,-4.0,-2.27
20260206,2409,友達,友達,Bing,外資買超台股120億元 買群創、調節友達台積電,https://money.udn.com/money/story/5607/9309203,15.2,-0.4,-2.56
20260206,2002,中鋼,中鋼,Bing,原料漲需求回溫鋼市走出谷底 中鋼3月月盤開槍調漲,https://www.mirrormedia.mg/external/mirrordaily_43417,20.4,-0.55,-2.63
20260206,6770,力積電,力積電,Bing,力積電公布114年第四季稅後淨損654億！全年虧損逾78億元,https://tw.news.yahoo.com/%E5%8A%9B%E7%A9%8D%E9%9B%BB%E5%85%AC%E5%B8%83114%E5%B9%B4%E7%AC%AC%E5%9B%9B%E5%AD%A3%E7%A8%85%E5%BE%8C%E6%B7%A8%E6%90%8D6-54%E5%84%84-%E5%85%A8%E5%B9%B4%E8%99%A7%E6%90%8D%E9%80%BE78%E5%84%84%E5%85%83-114739061.html,63.5,0.7,1.11
20260206,6770,力積電,力積電,Bing,法說會後力積電股價翻紅 分析師看好攻百元,https://www.msn.com/zh-tw/money/%E7%86%B1%E9%96%80%E8%82%A1%E7%A5%A8/%E6%B3%95%E8%AA%AA%E6%9C%83%E5%BE%8C%E5%8A%9B%E7%A9%8D%E9%9B%BB%E8%82%A1%E5%83%B9%E7%BF%BB%E7%B4%85-%E5%88%86%E6%9E%90%E5%B8%AB%E7%9C%8B%E5%A5%BD%E6%94%BB%E7%99%BE%E5%85%83/ar-AA1VMeoX?ocid=BingNewsVerp,63.5,0.7,1.11
20260206,1440,南紡,南紡,Bing,小北門店湧5萬人！南紡祭1個月優惠搶客 小北門店湧5萬人！南紡祭1個月優惠搶客,https://www.setn.com/News.aspx?NewsID=1714738,13.4,-0.3,-2.19
20260206,2897,王道銀行,王道銀行,Bing,王道銀行攜手一卡通推「交通減碳卡」 最高可享10回饋,https://www.nownews.com/news/6458152,9.3,0.09,0.98
20260206,2303,聯電,聯電,Bing,聯電股價60元太委屈？台達電還能抱多久？地板價曝光！杜金龍2026馬年操作策略：「這價位」就是發財起點,https://www.businesstoday.com.tw/article/category/183008/post/202602040089/,61.9,0.4,0.65
